Stage,Epoch,Mode,Time,Cross Entropy,Cluster,Separation,Avg Cluster,Accuracy,L1,P Avg Pair Dist
warm,1,train,334.08782720565796,102.36456079075923,1.0,1.0,63.61033750944631,1.024883955313924,1329.0037841796875,0.11250138282775879
warm,1,validation,43.61835837364197,42.15705955473714,1.0,1.0,51.48839256476565,0.9218983314938648,1329.0037841796875,0.11250138282775879
warm,2,train,335.17946457862854,37.339250050924996,1.0,1.0,44.63851277336654,0.9709426945079279,1372.120361328125,0.2145845592021942
warm,2,validation,43.606189012527466,29.402801883665852,1.0,1.0,36.70708805100057,0.9868207492047004,1372.120361328125,0.2145845592021942
warm,3,train,335.09798288345337,18.233755844706952,1.0,1.0,31.97442707681959,1.415248342725737,1383.71923828125,1.2539361715316772
warm,3,validation,43.627082109451294,10.911142419482662,1.0,1.0,22.94213305271513,1.7983509705901446,1383.71923828125,1.2539361715316772
warm,4,train,335.00920271873474,11.850608352744286,1.0,1.0,24.206052105389976,4.041336039859752,1397.794677734375,2.593433141708374
warm,4,validation,43.49649357795715,7.417772047747221,1.0,1.0,18.21767051585977,6.466272803999221,1397.794677734375,2.593433141708374
warm,5,train,334.5054156780243,7.879585362909925,1.0,1.0,18.74177780333267,8.447485343591635,1415.1748046875,2.8045284748077393
warm,5,validation,43.589507818222046,8.008298407946384,1.0,1.0,14.171373389073922,6.323443485035382,1415.1748046875,2.8045284748077393
joint,1,train,594.5375182628632,3.5411605293592685,1.0,0.999980734084326,6.70040561555192,29.876360952205204,1584.0809326171875,2.8504478931427
joint,1,validation,43.56213593482971,1.870914763434794,0.9973455200056812,0.8804118310514822,4.107421915560837,52.01584106992144,1584.0809326171875,2.8504478931427
joint,2,train,593.6159892082214,1.9164214920824383,0.9989731922461487,0.980244189582014,3.485885948402897,50.808409158658286,1702.355712890625,2.2200021743774414
joint,2,validation,43.436500787734985,1.6325264319591997,0.9645422630290272,0.6836680186240011,2.6206049538252265,57.20963448678829,1702.355712890625,2.2200021743774414
joint,3,train,593.8882420063019,1.5597179710973295,0.9356460197474283,0.8441218439824575,2.6727163925915822,60.065013414339866,1911.7249755859375,2.009024143218994
joint,3,validation,43.72759699821472,3.5018830472502964,0.8868567712326763,0.6616142935030688,1.8359642847445001,28.760631045900148,1911.7249755859375,2.009024143218994
joint,4,train,594.1127786636353,1.72249560943254,0.5696396290389761,0.5398594089035117,1.7699085987772756,58.18132780671994,2148.89111328125,1.8512544631958008
joint,4,validation,43.52691698074341,1.2533819307553817,0.33620452145075896,0.38856829171111473,1.6730841328988926,69.05797571901577,2148.89111328125,1.8512544631958008
joint,5,train,593.5023407936096,1.1045024817932962,0.37685639499183354,0.4588895620106568,1.6582037063212312,71.39551719732566,2216.08447265625,1.6054173707962036
joint,5,validation,43.40772604942322,1.254659419670639,0.3079604236911441,0.36599775289351516,1.5273690208854518,69.79159903914822,2216.08447265625,1.6054173707962036
joint,6,train,594.3358869552612,0.9380722538137523,0.2991455275358989,0.4119489113246171,1.5183678107517184,75.57596490979034,2248.186767578125,1.5104855298995972
joint,6,validation,43.5064582824707,1.2572598847178007,0.24806012437365857,0.33454655840436454,1.3973719574109154,70.55768356813607,2248.186767578125,1.5104855298995972
joint,7,train,593.3404331207275,0.8129268608561004,0.2450157663227481,0.38307119146679663,1.4247686797439998,78.67900691299843,2275.8994140625,1.4965678453445435
joint,7,validation,43.47120904922485,1.2899592932298223,0.22657940649578184,0.3368026818539097,1.399903452989966,71.59644225150944,2275.8994140625,1.4965678453445435
joint,8,train,593.6411530971527,0.7197667337094622,0.1955369561166248,0.36678495924652543,1.3708059715206897,81.26250940423297,2286.929443359375,1.4548338651657104
joint,8,validation,43.429311990737915,1.2987880043345368,0.20698786618118464,0.3412318126418284,1.343286598371767,72.24566642861781,2286.929443359375,1.4548338651657104
joint,9,train,593.6372952461243,0.6620929845313556,0.16541577802191096,0.36741046650803816,1.3431876929752617,82.88642525586611,2258.67333984375,1.482733964920044
joint,9,validation,43.478835105895996,1.3870195470657587,0.1881050883919866,0.3612832812847438,1.3774761522953936,71.94702330714796,2258.67333984375,1.482733964920044
joint,10,train,593.5687108039856,0.543505872438216,0.13813932677502527,0.3796422046412131,1.3659284318933478,85.74957059917385,2203.5986328125,1.474656343460083
joint,10,validation,43.447540283203125,1.3437128507868383,0.17080146310796876,0.3289257350427976,1.280595682715974,73.4337466727261,2203.5986328125,1.474656343460083
last,1,train,43.453845500946045,0.2983869992528148,0.17080146310796876,0.3289257350427976,1.280595682715974,92.03230797620905,2159.7275390625,1.474656343460083
last,1,validation,43.453845500946045,1.1850787640174394,0.17080146310796876,0.3289257350427976,1.280595682715974,75.0892683243524,2159.7275390625,1.474656343460083
last,2,train,43.461812019348145,0.2904437139459448,0.17080146310796876,0.3289257350427976,1.280595682715974,92.26936562238278,2135.20166015625,1.474656343460083
last,2,validation,43.461812019348145,1.1775127557798046,0.17080146310796876,0.3289257350427976,1.280595682715974,75.07628384081023,2135.20166015625,1.474656343460083
last,3,train,43.51398324966431,0.2883146981895647,0.17080146310796876,0.3289257350427976,1.280595682715974,92.27504364983604,2117.0126953125,1.474656343460083
last,3,validation,43.51398324966431,1.1737493156026508,0.17080146310796876,0.3289257350427976,1.280595682715974,74.98539245601506,2117.0126953125,1.474656343460083
last,4,train,43.45786905288696,0.2870741717612115,0.17080146310796876,0.3289257350427976,1.280595682715974,92.34176047241188,2102.37060546875,1.474656343460083
